line_id,movie_title,line,levenshtein_distance_from_script,memorable?
325519,go,We've been here five minutes.,0,0
344705,grosse pointe blank,"If I show up at your door, chances are you did something to bring me there.",39,1
344813,grosse pointe blank,"I thought you know... maybe seeing you, some friends, my house... of course now a 7-11--",0,0
344646,grosse pointe blank,"Don't tease me, you know what I do for a living.",2,1
344626,grosse pointe blank,And you could be... sort of like... a father figure to me....,0,0
344971,grosse pointe blank,I'll go put these in some rubbing alcohol.,11,1
345059,grosse pointe blank,We haven't seen each other since high school.,0,0
621677,psycho,"Well, a son is a poor substitute for a lover.",7,1
621685,psycho,She's as harmless as... one of these stuffed birds.,0,0
621776,psycho,We're always quickest to doubt people who have a reputation for being honest.,172,1
621879,psycho,"Look, this isn't much, but it might make you feel a little better.",0,0
621872,psycho,"She might have fooled me, but she didn't fool my mother.",33,1
621877,psycho,There's just so much pushing I can take and I think...,0,0
621491,psycho,I'll lick the stamps.,0,1
621493,psycho,I'm thinking of it.,0,0
621859,psycho,I think I must have one of those faces you can't help believing.,14,1
621851,psycho,"I'm sorry, I have work to do, Mr... if you don't mind...",0,0
621852,psycho,"Well, if it doesn't jell, it isn't aspic, and this ain't jellin'!",23,1
621798,psycho,This is the first one that looked like it was hiding from the world at large.,0,0
629931,rachel getting married,All you young people who applauded can go fuck yourselves!,18,1
629925,rachel getting married,But you don't know shit about loading a dishwasher.,0,0
57813,angel eyes,I brought you nectarines cause the peaches were hard as rocks,10,1
58567,angel eyes,"And then we all smiled, and it was a great minute.",0,0
605415,pitch black,"Like I said, it ain't me you gotta worry about.",5,1
605381,pitch black,"Well, guess if it was trickeration he'd just do me, huh?",0,0
605666,pitch black,Did not know who he was fuckin' with.,2,1
605692,pitch black,Some shade of grey my eyes don't see.,0,0
605366,pitch black,You're dancing on razor blades here.,11,1
605356,pitch black,"Okay, maybe that's a good thing.",0,0
605739,pitch black,I said I'd die for them not you Come on!,27,1
605642,pitch black,"We're just here to carry your light, aren't we?",0,0
701684,sling blade,Reckon you make me some biscuits.,13,1
701696,sling blade,Me and him's made friends.,0,0
701361,sling blade,I like them French fried potaters.,2,1
701374,sling blade,"Yeah, they's good all right.",0,0
701198,sling blade,A shovel just makes too goddamned much racket.,2,1
701992,sling blade,"By the way, how was it out there?",0,0
482894,lone star,"Ben, if you mixed drinks that way you mixed metaphors, you'd be out of a job...",20,1
482919,lone star,Do either of you have any idea when they stopped using that site as a rifle range?,0,0
483227,lone star,"Son, you got a talent for stating the obvious.",52,1
483225,lone star,Little greaser sonofabitch been running a goddarn bus service.,0,0
483592,lone star,"If I met you for the first time today, I'd still want to be with you.",0,1
482987,lone star,When you backed me you needed somebody named Deeds to bump the other fella out of office.,0,0
825679,tremors,I've got a goddamn plan!,11,1
825672,tremors,No way they could stop it.,0,0
825730,tremors,I wouldn't give you a gun if it were World War 3.,8,1
825381,tremors,"We go out, we find those damn snake things, we make 'em extinct.",0,0
423545,jackie brown,Is white guilt supposed to make me forget that I run a business?,10,1
423539,jackie brown,"If I don't see it in front of me, you're right.",0,0
424292,jackie brown,"You know, a good cop will never let you know he knows you're full of shit.",11,1
424424,jackie brown,"Excuse me, but my wife thinks she left a bag of beach towels in the fitting room?",0,0
424056,jackie brown,Half a million dollars will always be missed.,5,1
424050,jackie brown,"I know the type, trust me on this.",0,0
423695,jackie brown,"Shut your raggedy-ass up, and sit the fuck down!",12,1
423687,jackie brown,The cops didn't try and strangle my ass.,0,0
424622,jackie brown,"My ass may be dumb, but I ain't no dumbass.",42,1
424638,jackie brown,That's why she's givin' up my money huh?,0,0
424158,jackie brown,You can't trust Melanie but you can trust Melanie to be Melanie.,9,1
424148,jackie brown,"If this is about you fucked Melanie, I don't give a damn.",0,0
314827,get shorty,Don't you puke on my shoes Harry.,1,1
314828,get shorty,I need you to do me a favor .,0,0
314766,get shorty,They say the fucking smog is the fucking reason you have such beautiful fucking sunsets.,19,1
315062,get shorty,"Took the poor asshole's money and put it in a locker, ready to go.",0,0
314654,get shorty,"The guy's been in town two days, and already he thinks he's David O. Fucking Selznick.",28,1
314170,get shorty,Because they're not the type of guys would take it with any degree of understanding or restraint.,0,0
314076,get shorty,I got an idea for a movie.,8,1
314084,get shorty,"The door from the patio, in back.",0,0
314799,get shorty,"Where's Chili Palmer, where's Leo DeVoe... *where's* my fuckin' money?",27,1
315064,get shorty,Forget all the bullshit from before -- I don't even remember how it started.,0,0
314253,get shorty,I'm the guy who's telling you the way it is.,50,1
314226,get shorty,"You're gonna be here, behind 'em when they sit down.",0,0
314504,get shorty,What is the point of living in L.A. if you're not in the movie business?,11,1
314583,get shorty,"You must be makin' some big deals, doin' lunch in a place like this?",0,0
827838,trouble in paradise,"Do you remember the man who walked into the Bank of Constantinople, and walked out with the Bank of Constantinople?",12,1
828140,trouble in paradise,"But you know, madame, the stock market, bank crash ... To make a long story short--a member of the nouveaux poor.",0,0
828745,trouble in paradise,"I came here to rob you, but unfortunately I fell in love with you.",12,1
828646,trouble in paradise,Let's see-- You will be exactly eighty-seven when you come out of prison.,0,0
860385,watchmen,"Just a matter of time, I suppose.",888,1
860386,watchmen,I always thought I knew the punchline.,0,0
290929,four rooms,We did it right there in the big cauldron.,2,1
290896,four rooms,"She had lovers, but she saved that for marriage.",0,0
291119,four rooms,How can I stop talking about something that's so HUGE?,353,1
291059,four rooms,You look so much more attractive when you're self- assured.,0,0
291110,four rooms,"Unfortunately, you don't have the balls to back up the actions of your huge cock.",31,1
291115,four rooms,"Put it this way, God made up for what he did to Gumby with Ted here.",0,0
291010,four rooms,"There's no needles here kid, just a big fucking gun!",21,1
291021,four rooms,"You always gotta get the last word, don't you?",0,0
202496,the crow salvation,The dead can return given sufficent motivation.,23,1
202500,the crow salvation,Won't stop until he finds it.,0,0
202582,the crow salvation,"Gas, spark, bad combination.",73,1
202592,the crow salvation,I'm losing you.,0,0
487281,lord of the rings the two towers,"We be nice to them, if they be nice to us.",60,1
488040,lord of the rings the two towers,And then we take the precious and we be the master.,0,0
487873,lord of the rings the two towers,You could have picked a better spot.,0,1
487825,lord of the rings the two towers,This is no rabble of mindless Orcs.,0,0
487429,lord of the rings the two towers,Don't follow the lights.,2,1
487424,lord of the rings the two towers,Elves and men and orcses.,0,0
487282,lord of the rings the two towers,There is no promise you can make that I can trust.,2,1
487769,lord of the rings the two towers,"And two men, Aragorn, son of Arathorn, and Boromir of Gondor.",0,0
487546,lord of the rings the two towers,"I know your face, Eowyn.",9,1
487702,lord of the rings the two towers,Get the wounded on horses.,0,0
487523,lord of the rings the two towers,You'll find more cheer in a graveyard.,1,1
487536,lord of the rings the two towers,"I would stay still, if I were you.",0,0
487540,lord of the rings the two towers,"I will draw you, Saruman, as poison is drawn from a wound.",0,1
487561,lord of the rings the two towers,His spirit will find its way to the halls of your fathers.,0,0
487795,lord of the rings the two towers,Sneaky little hobbitses.,28,1
487635,lord of the rings the two towers,Servants of Sauron.,0,0
487693,lord of the rings the two towers,But that one counts as mine!,6,1
487394,lord of the rings the two towers,What madness drove them in there?,0,0
487334,lord of the rings the two towers,Why do you lay these troubles on an already troubled mind?,79,1
487532,lord of the rings the two towers,Late is the hour in which this conjurer chooses to appear.,0,0
487692,lord of the rings the two towers,Bring your pretty face to my axe.,1,1
487459,lord of the rings the two towers,The air is so close in here.,0,0
589516,the pacifier,I just got my eyebrows done!,14,1
589514,the pacifier,But I've got some C4.,0,0
50750,american splendor,I think we should skip the whole courtship thing and just get married.,15,1
50802,american splendor,I'll have you know that I come from a very dysfunctional family.,0,0
50774,american splendor,I consider myself a nerd.,370,1
50768,american splendor,I already saw it once.,0,0
267326,excalibur,The future has taken root in the present.,17,1
267359,excalibur,"But it'll take another, a greater king...",0,0
267632,excalibur,"Good and evil, there never is one without the other.",7,1
267634,excalibur,"Never where you expect it, that's all I know.",0,0
426097,jason lives: friday the 13th part vi,"Don't piss me off, junior, or I WILL repaint this office with your brains.",6,1
426460,jason lives: friday the 13th part vi,I gotta go break the news to Megan's friends about what's happened.,0,0
431509,jay and silent bob strike back,"Ladies, Ladies, Ladies, Jay and Silent Bob are in the hizzouse!",7,1
431665,jay and silent bob strike back,It does what ever the fuck I tell it to do!,0,0
432052,jay and silent bob strike back,Just call me Darth Balls... Bong.,11,1
432015,jay and silent bob strike back,"This was a good idea, Lunchbox.",0,0
431950,jay and silent bob strike back,Are we gonna have a problem... again?,3,1
431955,jay and silent bob strike back,"Will, what're we gonna do now?",0,0
431960,jay and silent bob strike back,"Affleck, you the *bomb* in Phantoms yo!",7,1
431904,jay and silent bob strike back,"Well what are you waiting for, bitch?",0,0
432053,jay and silent bob strike back,I think George Lucas gonna sue somebody.,10,1
432041,jay and silent bob strike back,"Neither did I. Shit, neither did the studio.",0,0
432088,jay and silent bob strike back,"I hope one rips the other one's shirt off and we see some fuckin titties floppin around, yeah!",44,1
432071,jay and silent bob strike back,"Hey, I wanted to go down, but I was waiting until I got to know her a little better.",0,0
431632,jay and silent bob strike back,"I'm gonna finger-bang her tight little asshole / Finger-bang and tea-bag my balls / Where, where, in her mouth / Balls a-plenty in her mouth / Balls Balls Sweaty Balls",39,1
431745,jay and silent bob strike back,"You'll have to be faster than Walt Flanagan's Dog to outrun the warrior gorillas, who hunt humans for sport, profit, and the occasional inter- species blow-job.",0,0
431508,jay and silent bob strike back,"Dude, I think I just filled the cup.",2,1
431484,jay and silent bob strike back,And we got just the thing for that.,0,0
432183,jay and silent bob strike back,"I don't get out to the movies that much, but ""Bluntman and Chronic"" was blunt-tastic.",33,1
432059,jay and silent bob strike back,These men are the leaders of a terrorist organization wanted for the abduction of a monkey.,0,0
411583,interview with the vampire: the vampire chronicles,"You lack the courage of your convictions sir, do it.",3,1
411584,interview with the vampire: the vampire chronicles,"I invited it, a release from the pain of living...",0,0
411547,interview with the vampire: the vampire chronicles,So you want me to tell you the story of my life?,3,1
411549,interview with the vampire: the vampire chronicles,You'd have to have a lot of tape for my story.,0,0
412072,interview with the vampire: the vampire chronicles,"So it was, when I'd given up the search for vampires, that a vampire found me.",7,1
412044,interview with the vampire: the vampire chronicles,I think the very name of Paris brought a rush of pleasure to me that was extraordinary.,0,0
411860,interview with the vampire: the vampire chronicles,"A little child she was, but also a fierce killer, now capable of the ruthless pursuit of blood with all a child's demanding.",0,1
411806,interview with the vampire: the vampire chronicles,"...and finally, when I could stand it no longer, I stood in an empty desolate street and heard the sound of a child crying.",0,0
412344,interview with the vampire: the vampire chronicles,"My God, I've failed again.",17,1
412339,interview with the vampire: the vampire chronicles,Do what you want with it.,0,0
411814,interview with the vampire: the vampire chronicles,"All I need to find you Louis, is follow the corpses of rats.",1,1
411817,interview with the vampire: the vampire chronicles,And you will feel as you felt with that child in your arms.,0,0
411784,interview with the vampire: the vampire chronicles,"We are predators, Whose all seeing eyes were meant to give them detachment.",20,1
411687,interview with the vampire: the vampire chronicles,Your income from cotton alone will keep us in comfort for a century.,0,0
411996,interview with the vampire: the vampire chronicles,"Goodnight sweet prince, may flights of devils wing you to your rest.",1,1
411924,interview with the vampire: the vampire chronicles,Tell me how it came to be that I am this... thing...,0,0
164736,cellular,Do you want to die here?,0,1
165368,cellular,Just give me the goddamn disc!,0,0
284189,final destination,"I won't let it happen, okay?",6,1
284179,final destination,"After Lewton, you should've been next.",0,0
283884,final destination,I got this feeling... a weird feeling.,27,1
283876,final destination,You think I'm some sort of...,0,0
284140,final destination,I knew I shoulda hit on Tammy in the pool that time.,18,1
284162,final destination,"I am... so close to puking, you don't wanna know.",0,0
294219,frankenstein,Don't bother to scream.,0,1
294264,frankenstein,We fell from grace together.,0,0
294225,frankenstein,I'd keep my promises if I were you.,16,1
294236,frankenstein,I'm sure the lady knows her own mind.,0,0
1181,10 things i hate about you,Who knocked up your sister?,0,1
1252,10 things i hate about you,What 're you talking about?,0,0
1331,10 things i hate about you,"Just 'cause you're beautiful, that doesn't mean that you can treat people like they don't matter.",12,1
1215,10 things i hate about you,What kind of 'guy just picks up a girl and carries her away while you're talking to her?,0,0
1258,10 things i hate about you,Leave it to you to use big words when you're smashed.,6,1
1313,10 things i hate about you,You don't strike me as the type that would ask permission.,0,0
1332,10 things i hate about you,And I'm BACK IN THE GAME!,16,1
1253,10 things i hate about you,"She's partial to Joey, not me",0,0
733,10 things i hate about you,"I guess in this society, being male and an asshole makes you worthy of our time.",42,1
1681,10 things i hate about you,I'd like to call your attention to Patrick Verona's stunning bad-ass look of 1995 ---,0,0
876,10 things i hate about you,"I have a dick on my face, don't I?",0,1
1015,10 things i hate about you,"Patrick, Pat, you're not looking at the big picture.",0,0
1322,10 things i hate about you,You're not as vile as I thought you were.,12,1
1318,10 things i hate about you,He just wants me to be someone I'm not.,0,0
1667,10 things i hate about you,It's not everyday you find a girl who'll flash someone to get you out of detention.,22,1
897,10 things i hate about you,"Well, you know -- there's the prestige of the job title... and the benefits package is pretty good...",0,0
984,10 things i hate about you,Watching that bitch violate my car doesn't count as a date.,8,1
986,10 things i hate about you,So get your ass on hers by the end of the week.,0,0
1184,10 things i hate about you,Oh wait... was that... did your hairline just recede?,11,1
1248,10 things i hate about you,"Okay, I'll just sleep but stay awake, okay?",0,0
788,10 things i hate about you,"Remove head from sphincter, then drive!",7,1
809,10 things i hate about you,Ask Bianca who drove her home,0,0
138759,the bourne ultimatum,"Jesus Christ, that's Jason Bourne!",1,1
138779,the bourne ultimatum,Get the asset out of there ...,0,0
138900,the bourne ultimatum,"Issue a standing kill order on Jason Bourne, effective immediately.",0,1
138945,the bourne ultimatum,Run all calls through here with an iso on 117,0,0
139127,the bourne ultimatum,You'd better get yourself a good lawyer.,11,1
139120,the bourne ultimatum,It's better if we do this together.,0,0
367634,heist,She could talk her way out of a sunburn.,3,1
367407,heist,"Yeah, well, that's a Hazard of the jjj...",0,0
681547,sex and the city,And we were dressed from head to toe in love... the only label that never goes out of style.,45,1
681268,sex and the city,For the last five months I've been thinking that it's a huge mistake that you left Steve.,0,0
680813,sex and the city,Charlotte has pudding in her Prada.,1,1
680817,sex and the city,"When something is really, really funny.",0,0
680933,sex and the city,"Your two best friends just got screwed over by their guys, how could you not be distant?",40,1
680937,sex and the city,Seriously -- all I do is work -- and you run off to New York every chance you get.,0,0
680837,sex and the city,"Yeah, it's all so hot three days in!",11,1
680796,sex and the city,I let the sex go out of our marriage!,0,0
681229,sex and the city,Just calling to make sure you aren't hanging from your shower rod.,5,1
681336,sex and the city,Smith is interested - but the dates will have to work with the series.,0,0
680745,sex and the city,"Yes, the honeymoon to a romantic Mexican resort that I prepaid on my credit card to surprise the man who jilted me.",43,1
680740,sex and the city,"Well, if you change your minds, I know where we can get one hundred beef, seventy-five fish and twenty- five vegetarian meals.",0,0
680456,sex and the city,It's the last single girl kiss.,20,1
680453,sex and the city,Enid -- I'm so very flattered but--,0,0
681385,sex and the city,What does your gut tell you?,0,1
681374,sex and the city,Why didn't you say something?,0,0
681504,sex and the city,"It wasn't logic, it was love.",3,1
681541,sex and the city,And speaking of an oldie but goodie...,0,0
680595,sex and the city,"Hey dick-wad, I'm speaking.",6,1
680588,sex and the city,... We never kiss and tell.,0,0
680457,sex and the city,Forty is the last age a woman can be photographed in a wedding dress without the unintended Diane Arbus subtext.,29,1
680452,sex and the city,It's a once in a lifetime opportunity - so spare me a week of faux soul-searching and just say yes.,0,0
681535,sex and the city,Some labels are best left in the closet.,9,1
681534,sex and the city,It wasn't a fancy designer reception either.,0,0
681436,sex and the city,It's my lot in life to be surrounded by beautiful women.,0,1
681460,sex and the city,He said he wrote because he didn't have your phone number.,0,0
680824,sex and the city,Is a relationship saying his name fifty times more a day than my own?,134,1
680934,sex and the city,"It's more than that -- lately, I haven't been feeling a connection to --",0,0
680085,sex and the city,"Year after year, twenty-something women come to New York City in search of the two L's: labels and love.",2,1
681470,sex and the city,I had told Louise to put Big in a place where I would never have to hear from him again.,0,0
681524,sex and the city,"Ever Thine, Ever Mine, Ever Ours.",5,1
681528,sex and the city,Which is why I called them.,0,0
681028,sex and the city,"I know, my head's in the Witness Protection Program.",22,1
680993,sex and the city,And in the subject box: two words: I'm sorry.,0,0
681197,sex and the city,I curse the day you were born!,1,1
681102,sex and the city,I've got everything I ever wanted.,0,0
803522,this boy's life,"Here I am, you lucky people!",0,1
803438,this boy's life,It's a test of skill.,0,0
803876,this boy's life,"Well... You can want in one hand and shit in the other, and see which one fills first.",21,1
803621,this boy's life,You gonna say you wouldn't join the Scouts because... him didn't wike his widdle uniform?,0,0
804050,this boy's life,"Why, I'm so scared, I'm so scared, I'm so scared, wo-o-o!",35,1
804073,this boy's life,"Well, he's got about as much chance of one as of the other.",0,0
803977,this boy's life,You left the cap off the toothpaste again.,8,1
803963,this boy's life,Spat on the floor as I walked by.,0,0
732619,star trek nemesis,To absent friends... To family.,1,1
732595,star trek nemesis,"You have the bridge, Commander.",0,0
731937,star trek nemesis,You have the bridge... Mr. Troi.,9,1
731932,star trek nemesis,"Data, Worf, you're with me.",0,0
732456,star trek nemesis,"You're too slow, old man.",30,1
732466,star trek nemesis,And you can't contact Starfleet.,0,0
732432,star trek nemesis,For now we see but through a glass darkly.,27,1
732442,star trek nemesis,We'll never know what Shinzon might have been.,0,0
731940,star trek nemesis,I will always be puzzled by the human predilection for piloting vehicles at unsafe velocities.,4,1
731871,star trek nemesis,I believe my memory engrams would sense the absence of your specific reactions and behavior.,0,0
731843,star trek nemesis,"Ladies and gentlemen, and invited transgendered species...",275,1
732598,star trek nemesis,"Geordi, if you will come with me.",0,0
732448,star trek nemesis,"Can you learn to see in the dark, Captain?",0,1
732472,star trek nemesis,"I have little interest in your quaint vessel, Captain.",0,0
731981,star trek nemesis,"You know, all things considered, Data, I think you have nicer eyes.",39,1
732241,star trek nemesis,It has the ability to consume organic material at the subatomic level.,0,0
731971,star trek nemesis,I think it's time to try some unsafe velocities.,20,1
731922,star trek nemesis,"No cold feet, or any other parts of our anatomy.",0,0
732583,star trek nemesis,"Some ideals are worth dying for, aren't they, Jean-Luc?",1,1
732565,star trek nemesis,Why should the rest of your crew have to die?,0,0
731967,star trek nemesis,Why do you have a shiny head?,9,1
731963,star trek nemesis,I have two arms and ten fingers.,0,0
879687,the wizard of oz,"Professor Marvel never guesses, he knows!",34,1
879684,the wizard of oz,"Well, well, well -- house guests, huh?",0,0
880130,the wizard of oz,"Unusual weather we're having, ain't it?",7,1
880220,the wizard of oz,I'd be monarch of all I survey....,0,0
880485,the wizard of oz,"How about a little fire, Scarecrow?",0,1
880480,the wizard of oz,Ah -- now we've got them!,0,0
879954,the wizard of oz,Where do you want to be oiled first?,0,1
879989,the wizard of oz,We've come such a long way already.,0,0
880584,the wizard of oz,A heart is not judged by how much you love; but by how much you are loved by others.,10,1
880610,the wizard of oz,"Times being what they were, I accepted the job, -- retaining my balloon against the advent of a quick get-away.",0,0
880534,the wizard of oz,Pay no attention to that man behind the curtain.,68,1
880272,the wizard of oz,Tap - tap - tap - tap - What was that - that - that?,0,0
880208,the wizard of oz,I can barely hear my heart beating!,3,1
880204,the wizard of oz,That's what the other man said.,0,0
880613,the wizard of oz,"To confer, converse, and otherwise hob-nob with my brother wizards.",311,1
880577,the wizard of oz,You are now a member of the Legion of Courage!,0,0
880650,the wizard of oz,I think I'll miss you most of all.,0,1
880646,the wizard of oz,"Oh, dear -- that's too wonderful to be true!",0,0
879916,the wizard of oz,I've got a witch mad at me and you might get into trouble!,30,1
879865,the wizard of oz,"Are you doing that on purpose, or can't you make up your mind?",0,0
879766,the wizard of oz,Only bad witches are ugly.,0,1
879773,the wizard of oz,She brings you good news.,0,0
566846,the nines,He's not coming back.,0,1
566928,the nines,If I had a horse...,0,0
505364,man trouble,I look upon a woman as a whole.,8,1
505399,man trouble,Ask her the name of the first hospital.,0,0
505115,man trouble,"Here I am, sitting in the center of a lot of wealth, the escalation in crime couldn't be better, and I'm not turning a damn nickel on it!",11,1
505450,man trouble,"I want to get a hold of this top private investigator, who's a close, personal friend of mine, okay, and get him to find out who this doctor is.",0,0
857485,wall street,"I guess your Dad isn't on the Board of Directors of *that* company, is he?",39,1
857513,wall street,"Then call this number -- 555-7617: tell the man ""blue horseshoe loves Anacott Steel..."" You scored, Buddy!",0,0
857476,wall street,Sure went down the toilet with that ugly bitch.,67,1
857534,wall street,Tell Mr. Ehrlich I've got important financial news!,0,0
857504,wall street,You gonna tell me the difference between this guy and that guy is luck?,35,1
857454,wall street,"Use a stop loss so your downside is 50,000, and buy yourself a decent suit.",0,0
857487,wall street,The most valuable commodity I know of is information.,28,1
857489,wall street,'Cause they're sheep -- and the sheep get slaughtered.,0,0
857659,wall street,"I'm gonna make you rich, Bud Fox.",152,1
857655,wall street,It's been wired to you -- play with it.,0,0
857729,wall street,We're all just one trade away from humility.,13,1
857769,wall street,"...things are so bad, even the liars are complaining.",0,0
857810,wall street,It's not always the most popular person who gets the job done.,549,1
857726,wall street,"Well in my book, you either do it right or you get eliminated.",0,0
819191,top gun,"Gutsiest move I ever saw, Mav.",5,1
819077,top gun,I died enough for one night.,0,0
819237,top gun,That was some of the best flying I've seen to date - right up to the part where you got killed.,31,1
819434,top gun,"I think that if you do, if you choose to come back, you'll be a better pilot... a better man.",0,0
111766,the birds,Don't they ever stop migrating?,0,1
111753,the birds,Did you find her all right?,0,0
690318,shock treatment,Alimony is just another word for RAPE.,5,1
690182,shock treatment,They had a very popular series together.,0,0
690548,shock treatment,But the false promise of a new dawn usually leads to a most bloody sunset.,24,1
690309,shock treatment,...remarkable that his 'Faith Factory' is being financed by an entire nation's indigestion.,0,0
91590,basic instinct,"You know I don't like to wear any underwear, don't you, Nick?",0,1
91563,basic instinct,I wanted to write a book about the murder of a retired rock star.,0,0
91870,basic instinct,Everyone that she plays with dies.,3,1
91908,basic instinct,I went over to your place.,0,0
73512,austin powers: international man of mystery,Why take the escalator when I have a perfectly good canoe right here?,29,1
73326,austin powers: international man of mystery,"Listen, Vanessa, I'm a swinger... That's what I do, I swing.",0,0
73381,austin powers: international man of mystery,I demand the sum... OF 1 MILLION DOLLARS.,20,1
73336,austin powers: international man of mystery,I was therefore by definition only partially frozen.,0,0
73623,austin powers: international man of mystery,"That's not your mother, it's a man, baby!",9,1
73613,austin powers: international man of mystery,Maybe these photographs are the last piece of that puzzle.,0,0
73358,austin powers: international man of mystery,"This is Frau Farbissina, founder and leader of the militant wing of the Salvation Army.",51,1
73350,austin powers: international man of mystery,"Some of you I know, some of you I'm meeting for the first time.",0,0
73753,austin powers: international man of mystery,Does that make you HORNY?,5,1
73803,austin powers: international man of mystery,"All right, I get it.",0,0
73895,austin powers: international man of mystery,There's nothing as pathetic as an aging hipster.,16,1
73891,austin powers: international man of mystery,"You're thin, I'm about forty pounds overweight.",0,0
73854,austin powers: international man of mystery,"Au contraire baby, you can't resist me.",8,1
73856,austin powers: international man of mystery,"It's not what it looks like, Vanessa.",0,0
315223,the getaway,"You run the job, but I run the show.",32,1
315356,the getaway,Your wife told me no one would be killed.,0,0
33984,all about eve,"This beats all records for running, standing or jumping gall.",12,1
34007,all about eve,"- and easy or not, I won't believe a word.",0,0
34182,all about eve,"There never was, and there never will be, another like you.",13,1
34158,all about eve,I would imagine that only death or destruction could keep her-,0,0
33754,all about eve,Peace and quiet is for libraries!,2,1
33719,all about eve,"I - I don't know, Bill.",0,0
33318,all about eve,The bed looks like a dead animal act.,21,1
33324,all about eve,This you can't do in Times Square...,0,0
33476,all about eve,"Fasten your seatbelts, it's going to be a bumpy night!",4,1
33470,all about eve,Unless you'd like to take her drink up to her...,0,0
33472,all about eve,"The atmosphere is very MacBeth-ish... what has, or is about to, happen?",15,1
33624,all about eve,I thought you knew... She was put on over a week ago-,0,0
33632,all about eve,Where is Princess... fire and music?,18,1
33510,all about eve,Where has it been laid out?,0,0
33784,all about eve,I detest cheap sentiment.,0,1
33789,all about eve,I wish I did.,0,0
33133,all about eve,"Real diamonds in a wig, the world we live in.",4,1
33123,all about eve,They keep you under drugs out there with armed guards...,0,0
